Java HotSpot(TM) 64-Bit Server VM (25.91-b14) for bsd-amd64 JRE (1.8.0_91-b14), built on Apr  1 2016 01:03:00 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(572212k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.204: [GC (Allocation Failure) 0.204: [DefNew: 384K->64K(448K), 0.0018312 secs] 384K->249K(1048512K), 0.0019293 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.250: [GC (Allocation Failure) 0.250: [DefNew: 443K->63K(448K), 0.0013281 secs] 629K->335K(1048512K), 0.0013791 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.300: [GC (Allocation Failure) 0.300: [DefNew: 447K->57K(448K), 0.0011385 secs] 719K->391K(1048512K), 0.0011972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.343: [GC (Allocation Failure) 0.343: [DefNew: 436K->64K(448K), 0.0008064 secs] 771K->500K(1048512K), 0.0008616 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.364: [GC (Allocation Failure) 0.364: [DefNew: 448K->63K(448K), 0.0012860 secs] 884K->643K(1048512K), 0.0013385 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.402: [GC (Allocation Failure) 0.402: [DefNew: 439K->47K(448K), 0.0007554 secs] 1018K->689K(1048512K), 0.0008126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.432: [GC (Allocation Failure) 0.432: [DefNew: 430K->56K(448K), 0.0008118 secs] 1072K->736K(1048512K), 0.0008666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.447: [GC (Allocation Failure) 0.447: [DefNew: 440K->64K(448K), 0.0010036 secs] 1120K->1070K(1048512K), 0.0010646 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.458: [GC (Allocation Failure) 0.458: [DefNew: 448K->63K(448K), 0.0011626 secs] 1454K->1442K(1048512K), 0.0012300 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.467: [GC (Allocation Failure) 0.467: [DefNew: 447K->64K(448K), 0.0011381 secs] 1826K->1812K(1048512K), 0.0012082 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.478: [GC (Allocation Failure) 0.478: [DefNew: 448K->63K(448K), 0.0012675 secs] 2196K->2189K(1048512K), 0.0013398 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.489: [GC (Allocation Failure) 0.489: [DefNew: 447K->63K(448K), 0.0013831 secs] 2573K->2572K(1048512K), 0.0014533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.498: [GC (Allocation Failure) 0.498: [DefNew: 447K->64K(448K), 0.0012207 secs] 2956K->2948K(1048512K), 0.0012879 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.509: [GC (Allocation Failure) 0.509: [DefNew: 447K->63K(448K), 0.0012130 secs] 3332K->3324K(1048512K), 0.0012780 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.520: [GC (Allocation Failure) 0.520: [DefNew: 447K->63K(448K), 0.0011444 secs] 3708K->3699K(1048512K), 0.0012145 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.530: [GC (Allocation Failure) 0.530: [DefNew: 447K->63K(448K), 0.0012604 secs] 4083K->4075K(1048512K), 0.0013279 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.540: [GC (Allocation Failure) 0.540: [DefNew: 447K->63K(448K), 0.0012303 secs] 4459K->4457K(1048512K), 0.0012856 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.549: [GC (Allocation Failure) 0.549: [DefNew: 447K->64K(448K), 0.0012024 secs] 4841K->4837K(1048512K), 0.0012694 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.560: [GC (Allocation Failure) 0.560: [DefNew: 448K->63K(448K), 0.0012887 secs] 5221K->5216K(1048512K), 0.0013517 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.571: [GC (Allocation Failure) 0.571: [DefNew: 447K->63K(448K), 0.0013982 secs] 5600K->5594K(1048512K), 0.0014790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.585: [GC (Allocation Failure) 0.585: [DefNew: 447K->63K(448K), 0.0013168 secs] 5978K->5973K(1048512K), 0.0013878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.597: [GC (Allocation Failure) 0.597: [DefNew: 447K->63K(448K), 0.0014401 secs] 6357K->6353K(1048512K), 0.0015033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.612: [GC (Allocation Failure) 0.612: [DefNew: 447K->64K(448K), 0.0013083 secs] 6737K->6731K(1048512K), 0.0013741 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.626: [GC (Allocation Failure) 0.626: [DefNew: 448K->64K(448K), 0.0014214 secs] 7115K->7110K(1048512K), 0.0014875 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.640: [GC (Allocation Failure) 0.640: [DefNew: 448K->64K(448K), 0.0014685 secs] 7494K->7490K(1048512K), 0.0015377 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.650: [GC (Allocation Failure) 0.650: [DefNew: 447K->64K(448K), 0.0017311 secs] 7873K->7859K(1048512K), 0.0018077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.661: [GC (Allocation Failure) 0.661: [DefNew: 448K->63K(448K), 0.0035528 secs] 8243K->8242K(1048512K), 0.0036768 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.675: [GC (Allocation Failure) 0.675: [DefNew: 447K->64K(448K), 0.0014716 secs] 8626K->8623K(1048512K), 0.0015520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.686: [GC (Allocation Failure) 0.686: [DefNew: 448K->63K(448K), 0.0015450 secs] 9007K->9002K(1048512K), 0.0016069 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.699: [GC (Allocation Failure) 0.699: [DefNew: 447K->63K(448K), 0.0015036 secs] 9386K->9380K(1048512K), 0.0015675 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.712: [GC (Allocation Failure) 0.712: [DefNew: 447K->64K(448K), 0.0015881 secs] 9764K->9759K(1048512K), 0.0016541 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.723: [GC (Allocation Failure) 0.724: [DefNew: 448K->63K(448K), 0.0015991 secs] 10143K->10138K(1048512K), 0.0017142 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.737: [GC (Allocation Failure) 0.737: [DefNew: 447K->64K(448K), 0.0016857 secs] 10522K->10517K(1048512K), 0.0017705 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.749: [GC (Allocation Failure) 0.749: [DefNew: 448K->63K(448K), 0.0020112 secs] 10901K->10894K(1048512K), 0.0021172 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.762: [GC (Allocation Failure) 0.762: [DefNew: 447K->63K(448K), 0.0020534 secs] 11278K->11272K(1048512K), 0.0021635 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.776: [GC (Allocation Failure) 0.776: [DefNew: 447K->64K(448K), 0.0027685 secs] 11656K->11651K(1048512K), 0.0028878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.787: [GC (Allocation Failure) 0.787: [DefNew: 448K->64K(448K), 0.0027251 secs] 12035K->12031K(1048512K), 0.0027788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.800: [GC (Allocation Failure) 0.800: [DefNew: 448K->64K(448K), 0.0028593 secs] 12415K->12409K(1048512K), 0.0029276 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.812: [GC (Allocation Failure) 0.812: [DefNew: 448K->64K(448K), 0.0027419 secs] 12793K->12788K(1048512K), 0.0028703 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.824: [GC (Allocation Failure) 0.824: [DefNew: 448K->63K(448K), 0.0030941 secs] 13172K->13167K(1048512K), 0.0032251 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.837: [GC (Allocation Failure) 0.837: [DefNew: 447K->63K(448K), 0.0021337 secs] 13551K->13545K(1048512K), 0.0022505 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.847: [GC (Allocation Failure) 0.847: [DefNew: 447K->63K(448K), 0.0022482 secs] 13929K->13924K(1048512K), 0.0023799 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.859: [GC (Allocation Failure) 0.859: [DefNew: 447K->63K(448K), 0.0024897 secs] 14308K->14301K(1048512K), 0.0025613 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.872: [GC (Allocation Failure) 0.872: [DefNew: 447K->64K(448K), 0.0020926 secs] 14685K->14680K(1048512K), 0.0021599 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.881: [GC (Allocation Failure) 0.881: [DefNew: 386K->63K(448K), 0.0017649 secs] 15003K->14995K(1048512K), 0.0018376 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.892: [GC (Allocation Failure) 0.892: [DefNew: 447K->63K(448K), 0.0054475 secs] 15379K->15378K(1048512K), 0.0056098 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.911: [GC (Allocation Failure) 0.911: [DefNew: 447K->63K(448K), 0.0026393 secs] 15762K->15758K(1048512K), 0.0027501 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.923: [GC (Allocation Failure) 0.923: [DefNew: 447K->63K(448K), 0.0018099 secs] 16142K->16136K(1048512K), 0.0018827 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.934: [GC (Allocation Failure) 0.934: [DefNew: 447K->63K(448K), 0.0018899 secs] 16520K->16514K(1048512K), 0.0019703 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.946: [GC (Allocation Failure) 0.946: [DefNew: 447K->63K(448K), 0.0018084 secs] 16898K->16894K(1048512K), 0.0019118 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.957: [GC (Allocation Failure) 0.957: [DefNew: 447K->63K(448K), 0.0017038 secs] 17278K->17270K(1048512K), 0.0017762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.967: [GC (Allocation Failure) 0.967: [DefNew: 447K->63K(448K), 0.0017475 secs] 17654K->17649K(1048512K), 0.0018109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.979: [GC (Allocation Failure) 0.979: [DefNew: 447K->63K(448K), 0.0036038 secs] 18033K->18030K(1048512K), 0.0036811 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.992: [GC (Allocation Failure) 0.992: [DefNew: 447K->63K(448K), 0.0025661 secs] 18414K->18410K(1048512K), 0.0026319 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.003: [GC (Allocation Failure) 1.003: [DefNew: 447K->64K(448K), 0.0018575 secs] 18794K->18787K(1048512K), 0.0019193 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.015: [GC (Allocation Failure) 1.015: [DefNew: 448K->64K(448K), 0.0016382 secs] 19171K->19166K(1048512K), 0.0017028 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.025: [GC (Allocation Failure) 1.025: [DefNew: 448K->63K(448K), 0.0032136 secs] 19550K->19546K(1048512K), 0.0033631 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
1.036: [GC (Allocation Failure) 1.036: [DefNew: 447K->63K(448K), 0.0016258 secs] 19930K->19924K(1048512K), 0.0016858 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.047: [GC (Allocation Failure) 1.047: [DefNew: 447K->63K(448K), 0.0019592 secs] 20308K->20302K(1048512K), 0.0020280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.059: [GC (Allocation Failure) 1.059: [DefNew: 447K->63K(448K), 0.0018455 secs] 20686K->20682K(1048512K), 0.0019179 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.069: [GC (Allocation Failure) 1.069: [DefNew: 447K->63K(448K), 0.0019242 secs] 21066K->21058K(1048512K), 0.0019943 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.081: [GC (Allocation Failure) 1.081: [DefNew: 447K->63K(448K), 0.0019034 secs] 21442K->21437K(1048512K), 0.0019751 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.091: [GC (Allocation Failure) 1.091: [DefNew: 447K->63K(448K), 0.0027708 secs] 21821K->21818K(1048512K), 0.0028854 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.104: [GC (Allocation Failure) 1.104: [DefNew: 447K->63K(448K), 0.0019302 secs] 22202K->22198K(1048512K), 0.0019997 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
